time,SSE unbounded Info Loss
11700,22879.428425530434
11800,23069.459035109383
11900,23261.026792304972
12000,23457.344770975502
12100,23652.285061495844
12200,23848.915857538846
12300,24044.247715409343
12400,24234.357899953353
12500,24425.348117449652
12600,24618.622091850713
12700,24815.899259017064
12800,25020.747720832165
12900,25218.96278939909
13000,25413.41298087266
13100,25611.95272518467
13200,25812.73923410714
13300,26006.58731487136
13400,26205.99196797424
13500,26403.379810079266
13600,26596.72631874531
13700,26792.386237680632
13800,26989.559196390128
13900,27182.63118797699
14000,27377.233233088613
14100,27570.82651972538
14200,27766.17325043563
14300,27957.186590672
14400,28152.39634429848
14500,28348.128113395327
14600,28544.35853615273
14700,28741.37939045505
14800,28938.494643993257
14900,29129.725568841444
15000,29324.109972234928
15100,29521.660152212495
15200,29721.617968219947
15300,29914.723258905924
15400,30111.74145573802
15500,30309.72505195577
15600,30504.224663491645
15700,30703.56675000464
15800,30897.885973084078
15900,31091.014464356515
16000,31285.71748141364
16100,31477.34145342536
16200,31674.764152289266
16300,31871.96654231907
16400,32067.947481066596
16500,32267.393978236636
16600,32461.61222937057
16700,32658.504826140783
16800,32855.23587110268
16900,33056.12262783575
17000,33254.929968057906
17100,33452.65635063939
17200,33652.20992558251
17300,33852.99277857215
17400,34051.002464536585
17500,34250.60853643378
17600,34446.896612079094
17700,34643.45341333525
17800,34839.2121147364
17900,35034.46638436896
18000,35231.70405540212
18100,35427.56528751687
18200,35623.32408123296
18300,35818.18139699994
18400,36017.22411627324
18500,36217.023775437876
18600,36412.256594698185
18700,36609.12043942875
18800,36804.37276608029
18900,37002.57396509307
19000,37195.184989062946
19100,37391.11024346657
19200,37587.59326604886
19300,37788.70418974909
19400,37984.589938373705
19500,38180.76968701423
19600,38376.10159345373
19700,38567.74011058578
19800,38764.49963697426
19900,38958.37934763184
20000,39163.22038398151
20100,39353.401164632436
20200,39546.86154100251
20300,39745.08120519782
20400,39940.494919828154
20500,40136.64159141379
20600,40327.8452354983
20700,40521.198538918245
20800,40714.31039749104
20900,40907.30181565023
21000,41103.45432727309
21100,41298.91810343154
21200,41497.93118436146
21300,41694.363807154485
21400,41894.814948521846
21500,42085.641322769356
21600,42284.65027123851
21700,42476.22095540916
21800,42671.811103225016
21900,42865.196075461405
22000,43061.00006928699
22100,43261.335578267564
22200,43455.939561537365
22300,43656.73118153925
22400,43857.64324195475
22500,44054.80310863689
22600,44251.80884415331
22700,44445.77329479964
22800,44640.58996233945
22900,44838.70600676482
23000,45038.220910562035
23100,45230.56940595515
23200,45431.95407031612
23300,45630.05159134426
23400,45824.777259436545
23500,46018.48487694496
23600,46219.69406172868
23700,46411.38900069998
23800,46605.40985500236
23900,46803.24328979403
24000,47001.481014218996
24100,47199.65617687696
24200,47395.346100798364
24300,47588.252576768624
24400,47782.57863834801
24500,47975.23615058228
24600,48170.119507526964
24700,48367.40638250943
24800,48564.11348345846
24900,48756.79119201032
25000,48952.32263619224
25100,49153.39484017765
25200,49344.8038668647
25300,49545.73664015717
25400,49744.52482144754
25500,49937.51818258775
25600,50136.27306106445
25700,50334.44237403941
25800,50525.43254778972
25900,50722.52134555164
26000,50918.95761890214
26100,51111.544791174056
26200,51312.07645257735
26300,51505.18711048729
26400,51703.89283840649
26500,51902.72025114818
26600,52093.727226250594
26700,52291.41641267672
26800,52484.023053416735
26900,52681.13032118408
27000,52876.32614332721
27100,53073.93080216307
27200,53271.048554164896
27300,53462.71165566729
27400,53654.35654275625
27500,53850.79041960393
27600,54048.83267088676
27700,54246.111506706475
27800,54445.66705873086
27900,54644.49469240844
28000,54842.67522229027
28100,55041.28066236743
28200,55237.9618144537
28300,55427.86342900533
28400,55625.38177633695
28500,55821.01230769806
28600,56014.97184464232
28700,56209.12435626518
28800,56406.13597074196
28900,56596.832891617414
29000,56798.68702964028
29100,56993.50563051533
29200,57188.37875881752
29300,57379.84764123244
29400,57580.102847398455
29500,57782.83332351757
29600,57983.603247201
29700,58182.57104052938
29800,58379.89636943638
29900,58578.81036318711
30000,58770.38417281844
30100,58964.5737253045
